		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
000111101   22   30   28   33   30   27   17   30 10.521693 0.230300 SUCCESS  28
000111111   30   26   21   21   27   28   30   28  5.131854 0.743395 SUCCESS  29
001000011   16   14   27   28   27   32   28   19 12.924680 0.114468 SUCCESS  30
001000101   27   26   33   24   23   23   13   19 10.441594 0.235389 SUCCESS  31
001000111   32   30   28   28   20   21   23   20  7.088004 0.527168 SUCCESS  32
001001011   25   25   22   27   24   20   21   25  1.892124 0.984142 SUCCESS  33
001001101   20   20   19   14   32   23   17   14 16.885967 0.031319 SUCCESS  34
001001111   20   19   17   26   23   23   19   25  5.897764 0.658683 SUCCESS  35
001010011   19   31   19   17   24   19   22   28  8.669474 0.370941 SUCCESS  36
001010101   16   17   23   27   17   22   18   22 10.217844 0.250068 SUCCESS  37
001010111   19   25   18   23   26   29   25   27  4.375211 0.821784 SUCCESS  38
001011011   27   29   24   25   25   28   19   32  5.453576 0.708178 SUCCESS  39
001011101   30   29   22   32   15   25   28   28  9.774980 0.281176 SUCCESS  40
001011111   31   28   25   25   24   20   25   29  4.165363 0.841904 SUCCESS  41
001100101   23   23   30   16   17   28   29   30  9.578372 0.295874 SUCCESS  42
001100111   27   29   27   21   33   23   18   22  7.155526 0.519949 SUCCESS  43
001101011   24   18   38   23   30   20   23   24 11.900597 0.155694 SUCCESS  44
001101101   19   23   26   21   24   24   26   20  2.857291 0.942991 SUCCESS  45
001101111   36   21   24   23   24   26   14   29 11.874780 0.156879 SUCCESS  46
001110101   29   22   30   27   25   22   20   21  4.324900 0.826685 SUCCESS  47
001110111   21   18   28   19   29   22   35   17 12.229601 0.141250 SUCCESS  48
001111011   25   27   22   28   20   25   16   25  4.933922 0.764615 SUCCESS  49
001111101   25   26   21   24   20   23   24   26  1.637924 0.990174 SUCCESS  50
001111111   20   22   24   25   35   27   23   27  6.503476 0.591022 SUCCESS  51
010000011   30   20   27   26   19   23   27   29  5.045796 0.752670 SUCCESS  52
010000111   21   25   18   32   24   29   26   20  6.519363 0.589261 SUCCESS  53
010001011   27   30   29   23   24   20   17   23  5.824284 0.666907 SUCCESS  54
010001111   33   27   27   26   24   29   31   30  7.896281 0.443667 SUCCESS  55
010010011   26   20   21   21   33   23   21   26  5.722340 0.678302 SUCCESS  56
010010111   26   31   25   17   21   23   22   29  6.002357 0.646968 SUCCESS  57
010011011   24   25   25   13   22   25   17   19  9.354623 0.313269 SUCCESS  58
010011111   29   24   21   27   25   25   22   22  2.197959 0.974333 SUCCESS  59
010100011   26   28   18   19   30   30   21   26  6.884114 0.549186 SUCCESS  60
010100111   21   21   28   19   21   22   26   23  3.687414 0.884168 SUCCESS  61
010101011   16   20   24   28   19   28   25   23  6.246628 0.619627 SUCCESS  62
010101111   21   25   23   22   26   28   27   27  2.062915 0.979022 SUCCESS  63
010110011   21   23   25   22   22   27   21   19  3.085674 0.928866 SUCCESS  64
010110111   30   28   23   30   29   20   21   27  5.783904 0.671423 SUCCESS  65
010111011   25   24   22   27   29   27   29   30  3.962797 0.860464 SUCCESS  66
010111111   33   28   28   22   20   27   24   32  8.038607 0.429708 SUCCESS  67
011000111   17   21   18   21   33   24   33   29 12.205108 0.142284 SUCCESS  68
011001111   16   32   31   16   21   25   21   24 11.271716 0.186774 SUCCESS  69
011010111   28   19   30   22   33   18   24   26  8.341794 0.400815 SUCCESS  70
011011111   28   29   27   26   27   18   16   31  8.697939 0.368415 SUCCESS  71
011101111   24   25   33   24   30   24   32   18  8.682051 0.369823 SUCCESS  72
011111111   26   24   22   22   33   23   30   31  6.995989 0.537066 SUCCESS  73
100000000   28   28   27   27   23   21   24   32  4.699581 0.789150 SUCCESS  74
100010000   13   27   26   27   19   19   23   28  9.288425 0.318552 SUCCESS  75
100100000   26   22   21   27   26   27   17   22  4.086587 0.849228 SUCCESS  76
100101000   30   22   27   21   19   35   26   23  8.537078 0.382837 SUCCESS  77
100110000   28   35   31   22   20   38   19   23 17.376494 0.026419 SUCCESS  78
100111000   22   22   29   29   26   16   26   32  7.935338 0.439812 SUCCESS  79
101000000   17   23   21   24   20   25   28   28  4.831977 0.775375 SUCCESS  80
101000100   20   33   23   25   26   22   25   24  4.426845 0.816707 SUCCESS  81
101001000   25   20   34   27   21   25   24   23  5.621719 0.689520 SUCCESS  82
101001100   24   32   24   25   31   26   19   28  6.216176 0.623031 SUCCESS  83
101010000   24   20   23   32   15   24   20   22  8.169679 0.417073 SUCCESS  84
101010100   18   25   25   28   13   20   22   23  8.965379 0.345225 SUCCESS  85
101011000   20   34   33   20   21   33   29   21 13.689928 0.090214 SUCCESS  86
101011100   18   18   23   30   21   26   21   22  6.212205 0.623475 SUCCESS  87
101100000   29   31   27   28   31   26   28   17  8.403358 0.395093 SUCCESS  88
101100100   27   19   15   24   27   30   23   22  7.213118 0.513823 SUCCESS  89
101101000   27   15   22   21   24   27   30   23  6.467729 0.594989 SUCCESS  90
101101100   28   29   20   27   31   28   32   34 11.302829 0.185124 SUCCESS  91
101110000   23   20   18   24   19   24   26   26  4.102475 0.847761 SUCCESS  92
101110100   34   26   24   29   21   24   23   30  6.826522 0.555460 SUCCESS  93
101111000   20   21   20   18   21   30   22   28  6.475011 0.594181 SUCCESS  94
101111100   21   20   24   28   26   25   17   24  4.314971 0.827647 SUCCESS  95
110000000   27   28   34   33   28   22   32   28 11.667580 0.166663 SUCCESS  96
110000010   33   23   17   19   22   27   36   29 13.901100 0.084380 SUCCESS  97
110000100   25   27   24   27   28   32   19   29  5.724987 0.678006 SUCCESS  98
110001000   15   28   29   28   17   18   23   26  9.983504 0.266186 SUCCESS  99
110001010   29   25   32   25   18   34   18   21 11.239941 0.188471 SUCCESS 100
110010000   18   19   15   27   29   33   23   22 11.356450 0.182309 SUCCESS 101
110010010   28   19   30   23   25   29   23   27  4.478480 0.811582 SUCCESS 102
110010100   21   25   26   18   28   32   25   31  7.207160 0.514456 SUCCESS 103
110011000   32   33   29   22   22   35   23   30 13.141147 0.107085 SUCCESS 104
110011010   25   23   31   25   30   22   38   25 11.386239 0.180760 SUCCESS 105
110100000   24   24   25   25   21   20   32   26  3.909839 0.865165 SUCCESS 106
110100010   18   28   20   24   26   26   23   18  5.145093 0.741962 SUCCESS 107
110100100   22   20   22   25   29   19   25   29  4.366605 0.822626 SUCCESS 108
110101000   32   25   23   31   23   17   21   22  7.527558 0.480923 SUCCESS 109
110101010   18   28   26   29   15   26   29   24  8.044565 0.429129 SUCCESS 110
110101100   21   24   34   18   22   28   31   23  8.858800 0.354347 SUCCESS 111
110110000   28   25   27   30   28   26   29   23  3.819148 0.873061 SUCCESS 112
110110010   27   27   19   23   24   37   26   28  9.283791 0.318924 SUCCESS 113
110110100   33   17   17   19   29   24   27   16 13.186162 0.105603 SUCCESS 114
110111000   28   27   23   21   20   24   30   28  4.113729 0.846719 SUCCESS 115
110111010   25   25   26   26   26   27   26   31  2.598457 0.956982 SUCCESS 116
110111100   23   22   22   20   18   30   21   16  7.931366 0.440203 SUCCESS 117
111000000   27   23   31   28   22   25   29   20  4.741285 0.784836 SUCCESS 118
111000010   22   27   17   25   26   27   18   27  5.281461 0.727113 SUCCESS 119
111000100   22   28   31   28   16   20   22   21  7.730124 0.460267 SUCCESS 120
111000110   20   24   27   16   24   35   25   21  9.374482 0.311696 SUCCESS 121
111001000   21   24   17   31   29   24   22   16  8.797236 0.359689 SUCCESS 122
111001010   20   25   18   23   28   23   17   23  5.686593 0.682291 SUCCESS 123
111001100   34   26   24   20   30   24   26   23  6.368432 0.606035 SUCCESS 124
111010000   21   27   25   25   24   21   24   27  1.596219 0.990992 SUCCESS 125
111010010   23   21   25   24   26   28   21   35  6.503476 0.591022 SUCCESS 126
111010100   29   30   23   28   27   16   21   16  9.611471 0.293361 SUCCESS 127
111010110   21   25   30   16   27   22   20   33  9.306960 0.317067 SUCCESS 128
111011000   16   22   22   22   33   23   23   23  7.102567 0.525608 SUCCESS 129
111011010   27   17   16   30   27   28   33   19 12.128980 0.145541 SUCCESS 130
111011100   25   28   25   24   24   21   21   23  1.655136 0.989823 SUCCESS 131
111100000   34   22   32   23   13   28   31   22 14.824562 0.062648 SUCCESS 132
111100010   29   26   32   26   20   22   20   19  6.680224 0.571494 SUCCESS 133
111100100   25   22   22   23   27   21   25   23  1.459852 0.993355 SUCCESS 134
111100110   35   18   30   27   25   22   31   22 10.461453 0.234119 SUCCESS 135
111101000   22   26   26   24   24   18   17   28  5.077571 0.749254 SUCCESS 136
111101010   29   34   22   18   27   25   24   20  7.909521 0.442358 SUCCESS 137
111101100   15   26   29   21   30   30   22   24  8.146510 0.419291 SUCCESS 138
111101110   29   31   27   26   24   23   18   27  5.249686 0.730586 SUCCESS 139
111110000   31   25   25   23   29   33   20   26  6.919861 0.545303 SUCCESS 140
111110010   33   19   23   25   26   21   17   26  7.493136 0.484477 SUCCESS 141
111110100   25   23   23   24   20   22   14   24  5.838848 0.665278 SUCCESS 142
111110110   23   19   18   25   26   25   32   28  6.189035 0.626066 SUCCESS 143
111111000   35   24   31   26   32   29   29   30 12.295137 0.138513 SUCCESS 144
111111010   25   29   24   21   22   21   19   30  4.705539 0.788535 SUCCESS 145
111111100   35   22   26   27   31   28   24   29  8.700587 0.368180 SUCCESS 146
111111110   26   24   22   22   33   23   30   31  6.995989 0.537066 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   26   17   27   19   27   17   25   27  6.856973 0.552140 SUCCESS   0
000000011   32   24   26   16   23   25   16   22  8.881969 0.352351 SUCCESS   1
000000101   23   24   27   29   17   25   31   23  5.536985 0.698939 SUCCESS   2
000000111   34   21   20   18   25   31   25   21  9.315566 0.316379 SUCCESS   3
000001001   26   22   25   22   19   23   39   20 11.781441 0.161225 SUCCESS   4
000001011   14   21   33   29   17   19   31   22 14.745786 0.064281 SUCCESS   5
000001101   27   24   26   21   24   18   24   28  3.188943 0.921947 SUCCESS   6
000001111   36   27   24   17   19   36   24   18 16.993208 0.030180 SUCCESS   7
000010001   21   29   29   31   36   28   28   29 11.828441 0.159024 SUCCESS   8
000010011   23   27   13   23   21   29   37   24 14.077849 0.079759 SUCCESS   9
000010101   29   15   23   23   25   34   23   31 10.655413 0.221999 SUCCESS  10
000010111   20   27   21   24   24   21   23   32  4.629411 0.796351 SUCCESS  11
000011001   25   33   28   21   21   19   14   21 10.983093 0.202659 SUCCESS  12
000011011   27   36   21   20   31   18   23   29 11.858892 0.157612 SUCCESS  13
000011101   25   28   20   18   20   33   26   25  7.197231 0.515510 SUCCESS  14
000011111   20   23   23   17   20   33   28   16 10.796415 0.213504 SUCCESS  15
000100011   24   28   33   22   31   23   23   22  6.190359 0.625918 SUCCESS  16
000100101   28   24   23   38   23   31   27   17 13.012061 0.111435 SUCCESS  17
000100111   27   30   16   21   19   27   22   25  6.874184 0.550266 SUCCESS  18
000101001   26   19   22   30   15   29   23   26  7.747336 0.458532 SUCCESS  19
000101011   29   25   18   17   27   28   26   20  6.730535 0.565965 SUCCESS  20
000101101   22   21   34   21   16   27   23   22  8.729714 0.365608 SUCCESS  21
000101111   25   26   24   25   25   26   26   35  5.140459 0.742464 SUCCESS  22
000110011   22   26   29   26   28   26   11   21 10.111266 0.257303 SUCCESS  23
000110101   30   17   22   20   21   25   22   25  5.475421 0.705762 SUCCESS  24
000110111   21   34   33   26   24   21   29   29  9.928559 0.270076 SUCCESS  25
000111001   34   16   25   23   34   22   27   33 14.563080 0.068219 SUCCESS  26
000111011   24   22   20   24   24   30   14   20  7.813534 0.451894 SUCCESS  27
000111101   29   21   25   22   25   25   23   23  1.841814 0.985483 SUCCESS  28
000111111   23   35   27   26   23   33   22   16 11.689425 0.165608 SUCCESS  29
001000011   17   24   33   27   25   22   19   18  8.975308 0.344383 SUCCESS  30
001000101   17   31   25   26   25   31   24   18  7.892309 0.444060 SUCCESS  31
001000111   21   26   30   18   34   21   19   19 10.526327 0.230009 SUCCESS  32
001001011   28   21   18   35   28   23   24   15 11.916485 0.154969 SUCCESS  33
001001101   21   30   23   23   19   20   31   28  6.434630 0.598667 SUCCESS  34
001001111   24   24   20   34   22   24   30   26  6.427348 0.599477 SUCCESS  35
001010011   22   22   23   27   20   25   28   28  2.791093 0.946776 SUCCESS  36
001010101   18   12   22   25   32   35   28   21 16.754895 0.032765 SUCCESS  37
001010111   23   24   24   19   29   22   26   18  4.314971 0.827647 SUCCESS  38
001011011   27   22   25   25   32   25   21   24  3.520595 0.897585 SUCCESS  39
001011101   27   27   31   29   29   20   25   24  5.055726 0.751604 SUCCESS  40
001011111   23   29   23   22   22   20   30   36  9.401623 0.309556 SUCCESS  41
001100101   22   26   19   17   29   26   29   29  6.706042 0.568655 SUCCESS  42
001100111   25   28   20   24   27   24   17   24  4.010460 0.856179 SUCCESS  43
001101011   22   21   25   20   22   22   20   31  4.721426 0.786893 SUCCESS  44
001101101   22   26   22   25   25   14   25   30  6.552462 0.585595 SUCCESS  45
001101111   22   29   30   36   29   25   26   27  9.480399 0.303403 SUCCESS  46
001110101   25   33   25   25   17   21   23   19  7.306457 0.503958 SUCCESS  47
001110111   24   17   23   24   28   24   16   27  6.246628 0.619627 SUCCESS  48
001111011   29   29   21   25   27   29   22   27  4.013108 0.855939 SUCCESS  49
001111101   27   14   30   19   21   27   27   26  8.603276 0.376860 SUCCESS  50
001111111   20   29   27   33   22   32   22   16 11.061869 0.198218 SUCCESS  51
010000011   31   24   29   19   27   24   26   23  4.469874 0.812440 SUCCESS  52
010000111   20   22   30   22   28   24   21   24  3.688738 0.884059 SUCCESS  53
010001011   17   24   30   21   30   31   19   25  8.570177 0.379841 SUCCESS  54
010001111   22   27   28   18   27   22   25   24  3.367015 0.909262 SUCCESS  55
010010011   19   26   27   24   14   24   22   29  7.365373 0.497773 SUCCESS  56
010010111   26   24   29   30   23   26   22   15  6.519363 0.589261 SUCCESS  57
010011011   28   26   28   32   19   19   30   27  7.741378 0.459132 SUCCESS  58
010011111   24   17   22   32   18   31   27   24  8.891899 0.351497 SUCCESS  59
010100011   30   19   26   26   17   29   26   17  8.425203 0.393074 SUCCESS  60
010100111   23   24   25   27   20   26   30   30  3.978685 0.859041 SUCCESS  61
010101011   21   17   19   19   36   35   23   24 15.831433 0.044857 SUCCESS  62
010101111   22   28   23   13   29   20   30   25  9.442004 0.306391 SUCCESS  63
010110011   28   31   25   23   16   23   28   22  6.358502 0.607142 SUCCESS  64
010110111   19   21   25   20   24   28   22   30  4.688327 0.790309 SUCCESS  65
010111011   21   24   24   20   33   21   26   24  5.061684 0.750963 SUCCESS  66
010111111   19   22   21   20   32   19   32   28  9.467821 0.304379 SUCCESS  67
011000111   37   22   21   27   31   25   17   22 12.172009 0.143693 SUCCESS  68
011001111   28   33   19   20   34   17   23   20 12.865764 0.116552 SUCCESS  69
011010111   20   23   31   17   28   22   23   32  8.392104 0.396135 SUCCESS  70
011011111   23   23   22   25   26   25   28   29  1.995393 0.981153 SUCCESS  71
011101111   26   22   18   30   25   33   22   25  6.825198 0.555605 SUCCESS  72
011111111   27   24   24   29   28   31   32   19  7.276006 0.507168 SUCCESS  73
100000000   26   17   27   19   27   17   25   27  6.856973 0.552140 SUCCESS  74
100010000   16   24   23   33   36   20   20   24 13.560842 0.093955 SUCCESS  75
100100000   34   29   26   19   25   28   30   28  8.590036 0.378050 SUCCESS  76
100101000   31   19   32   24   29   31   23   36 14.064609 0.080097 SUCCESS  77
100110000   25   20   26   23   19   30   28   21  4.629411 0.796351 SUCCESS  78
100111000   27   21   27   20   24   24   24   27  2.189353 0.974649 SUCCESS  79
101000000   22   27   34   26   18   27   33   23  9.783586 0.280545 SUCCESS  80
101000100   22   30   20   23   18   22   28   23  5.086177 0.748327 SUCCESS  81
101001000   18   29   22   22   18   20   11   20 14.098370 0.079237 SUCCESS  82
101001100   27   20   26   27   22   30   32   26  5.631648 0.688415 SUCCESS  83
101010000   27   31   25   26   27   25   30   23  3.971403 0.859694 SUCCESS  84
101010100   24   19   27   26   22   21   29   18  5.001444 0.757422 SUCCESS  85
101011000   29   23   22   26   30   25   18   25  4.426845 0.816707 SUCCESS  86
101011100   22   23   20   24   23   26   19   27  2.865897 0.942489 SUCCESS  87
101100000   27   25   21   22   22   21   22   26  2.120507 0.977093 SUCCESS  88
101100100   28   27   28   25   19   24   21   17  5.450928 0.708471 SUCCESS  89
101101000   29   31   30   28   15   34   31   28 14.666349 0.065967 SUCCESS  90
101101100   17   20   23   25   21   21   20   22  5.278813 0.727403 SUCCESS  91
101110000   26   20   26   28   25   35   25   30  7.708279 0.462473 SUCCESS  92
101110100   23   24   20   25   26   25   19   30  3.612610 0.890276 SUCCESS  93
101111000   24   21   24   25   17   24   29   24  3.747654 0.879143 SUCCESS  94
101111100   34   31   20   22   24   18   28   28  9.655824 0.290018 SUCCESS  95
110000000   32   19   25   19   25   21   27   25  5.739551 0.676380 SUCCESS  96
110000010   29   17   26   28   27   27   17   23  6.849691 0.552933 SUCCESS  97
110000100   28   32   21   30   20   20   23   27  6.825198 0.555605 SUCCESS  98
110001000   17   26   26   27   42   24   19   18 18.924865 0.015267 SUCCESS  99
110001010   28   28   28   18   22   27   32   15 10.103984 0.257803 SUCCESS 100
110010000   27   30   24   22   30   25   29   14  8.689333 0.369177 SUCCESS 101
110010010   33   26   19   22   26   26   26   26  5.156347 0.740742 SUCCESS 102
110010100   21   17   23   13   26   30   22   35 14.839125 0.062350 SUCCESS 103
110011000   22   26   27   28   20   27   22   17  4.857794 0.772662 SUCCESS 104
110011010   22   26   26   28   27   22   19   32  5.223869 0.733403 SUCCESS 105
110100000   25   26   42   23   15   23   32   21 20.095245 0.009982 FAILURE 106
110100010   24   26   24   20   18   30   30   18  7.069468 0.529156 SUCCESS 107
110100100   15   31   24   19   26   19   16   22 11.405436 0.179768 SUCCESS 108
110101000   18   24   23   30   23   26   27   22  3.875416 0.868185 SUCCESS 109
110101010   27   24   24   20   26   21   24   21  2.213847 0.973744 SUCCESS 110
110101100   21   21   29   33   24   24   20   26  5.952047 0.652604 SUCCESS 111
110110000   23   20   25   24   19   17   22   20  5.541619 0.698425 SUCCESS 112
110110010   27   23   24   21   25   21   28   21  2.409131 0.965834 SUCCESS 113
110110100   20   31   21   28   28   29   24   27  5.444970 0.709129 SUCCESS 114
110111000   21   25   28   28   28   28   29   29  4.497015 0.809732 SUCCESS 115
110111010   19   24   20   21   27   25   24   28  3.408720 0.906157 SUCCESS 116
110111100   21   21   22   43   23   31   33   27 21.232526 0.006555 FAILURE 117
111000000   30   23   24   19   19   29   30   30  7.444149 0.489556 SUCCESS 118
111000010   26   24   18   25   32   22   25   30  5.901736 0.658238 SUCCESS 119
111000100   24   21   21   29   32   25   14   31 10.773245 0.214881 SUCCESS 120
111000110   25   26   27   22   24   23   32   25  3.207478 0.920670 SUCCESS 121
111001000   19   26   21   34   37   24   24   23 12.562577 0.127813 SUCCESS 122
111001010   24   20   25   13   28   20   18   28  9.999391 0.265069 SUCCESS 123
111001100   25   27   22   27   26   21   21   23  2.002675 0.980930 SUCCESS 124
111010000   29   17   33   20   14   25   21   22 12.499689 0.130263 SUCCESS 125
111010010   24   27   28   21   26   28   15   26  5.841496 0.664981 SUCCESS 126
111010100   17   24   29   29   20   29   19   22  7.315063 0.503052 SUCCESS 127
111010110   25   27   27   27   24   26   27   31  3.124069 0.926332 SUCCESS 128
111011000   25   24   28   20   25   26   23   20  2.417736 0.965457 SUCCESS 129
111011010   14   33   22   23   23   28   15   29 13.313924 0.101495 SUCCESS 130
111011100   21   18   30   29   34   27   28   26  9.301002 0.317544 SUCCESS 131
111100000   32   31   18   20   21   29   29   31 10.978459 0.202923 SUCCESS 132
111100010   31   24   21   19   24   30   31   23  6.842409 0.553727 SUCCESS 133
111100100   25   26   23   28   31   27   25   25  2.920179 0.939266 SUCCESS 134
111100110   25   36   20   36   29   19   32   29 17.716752 0.023453 SUCCESS 135
111101000   31   22   33   15   18   30   27   26 12.426209 0.133176 SUCCESS 136
111101010   17   20   28   30   31   26   22   31  9.062690 0.337035 SUCCESS 137
111101100   27   22   24   17   27   24   20   21  4.458620 0.813559 SUCCESS 138
111101110   18   19   23   26   29   40   32   19 18.053037 0.020832 SUCCESS 139
111110000   31   33   19   27   25   26   25   32  9.089831 0.334775 SUCCESS 140
111110010   25   22   16   18   25   23   21   26  5.677987 0.683251 SUCCESS 141
111110100   22   28   32   20   19   26   29   18  8.035959 0.429965 SUCCESS 142
111110110   21   27   23   30   28   27   26   22  3.376945 0.908527 SUCCESS 143
111111000   22   26   27   17   26   27   16   31  8.188214 0.415304 SUCCESS 144
111111010   19   29   23   31   29   26   33   14 12.782354 0.119561 SUCCESS 145
111111100   22   23   19   24   25   29   17   32  7.247541 0.510176 SUCCESS 146
111111110   27   24   24   29   28   31   32   19  7.276006 0.507168 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   23   15   22   25   30   20   18   21  8.456978 0.390150 SUCCESS   0
000000011   27   20   27   24   24   22   21   30  3.468960 0.901585 SUCCESS   1
000000101   28   20   30   28   26   29   25   28  4.818737 0.776762 SUCCESS   2
000000111   34   20   23   24   21   24   22   30  6.884114 0.549186 SUCCESS   3
000001001   21   23   20   26   23   27   28   17  4.738638 0.785111 SUCCESS   4
000001011   26   20   25   21   28   29   26   24  2.994983 0.934672 SUCCESS   5
000001101   24   27   16   25   26   21   25   24  3.917121 0.864523 SUCCESS   6
000001111   27   21   18   23   23   21   23   22  3.492130 0.899800 SUCCESS   7
000010001   25   24   37   22   21   37   21   25 14.715335 0.064923 SUCCESS   8
000010011   24   26   24   20   24   29   29   22  2.986377 0.935210 SUCCESS   9
000010101   28   21   22   33   22   17   26   24  7.095286 0.526388 SUCCESS  10
000010111   23   14   27   25   25   37   27   27 12.282559 0.139035 SUCCESS  11
000011001   13   21   28   21   38   22   25   23 15.212482 0.055143 SUCCESS  12
000011011   26   25   21   17   31   17   23   30  8.509936 0.385306 SUCCESS  13
000011101   30   28   29   18   29   31   26   25  7.377951 0.496457 SUCCESS  14
000011111   25   25   21   31   25   25   22   16  5.629000 0.688710 SUCCESS  15
000100011   24   24   29   17   26   22   26   29  4.587706 0.800596 SUCCESS  16
000100101   21   21   28   24   22   30   33   18  7.977043 0.435716 SUCCESS  17
000100111   25   27   22   20   29   26   21   19  4.095193 0.848434 SUCCESS  18
000101001   31   24   28   16   22   32   30   27  9.698852 0.286802 SUCCESS  19
000101011   30   17   20   28   23   22   19   22  6.822550 0.555894 SUCCESS  20
000101101   25   27   22   22   20   28   22   21  2.891714 0.940968 SUCCESS  21
000101111   27   17   34   30   30   33   22   33 15.683150 0.047146 SUCCESS  22
000110011   21   26   24   24   26   22   21   23  1.535979 0.992094 SUCCESS  23
000110101   20   22   19   29   25   27   30   26  4.935246 0.764474 SUCCESS  24
000110111   37   23   30   18   24   21   25   18 12.120374 0.145913 SUCCESS  25
000111001   19   24   26   26   21   24   22   27  2.485258 0.962415 SUCCESS  26
000111011   26   29   26   19   24   21   29   28  4.291801 0.829883 SUCCESS  27
000111101   23   25   20   21   23   23   20   26  2.501146 0.961677 SUCCESS  28
000111111   24   22   28   23   24   26   23   24  1.087819 0.997630 SUCCESS  29
001000011   26   29   15   17   34   24   17   21 13.787901 0.087464 SUCCESS  30
001000101   31   21   32   25   29   27   21   38 14.310203 0.074030 SUCCESS  31
001000111   22   28   30   19   23   22   20   23  4.586382 0.800730 SUCCESS  32
001001011   28   27   27   23   26   22   31   21  3.893951 0.866562 SUCCESS  33
001001101   20   37   20   29   26   27   24   33 12.800890 0.118886 SUCCESS  34
001001111   21   24   24   15   23   23   20   20  6.050020 0.641629 SUCCESS  35
001010011   27   21   27   19   19   24   27   29  4.722750 0.786756 SUCCESS  36
001010101   17   22   36   24   25   13   26   24 13.907058 0.084220 SUCCESS  37
001010111   21   25   23   26   19   17   24   26  4.365281 0.822755 SUCCESS  38
001011011   27   31   24   32   21   23   26   19  6.503476 0.591022 SUCCESS  39
001011101   27   17   30   28   20   28   26   21  6.451841 0.596754 SUCCESS  40
001011111   31   24   29   21   38   31   24   24 12.937257 0.114027 SUCCESS  41
001100101   22   27   22   31   27   20   19   19  6.196317 0.625252 SUCCESS  42
001100111   21   32   26   27   18   27   23   18  7.171413 0.518257 SUCCESS  43
001101011   24   29   16   23   30   27   35   22 10.596497 0.225627 SUCCESS  44
001101101   26   27   20   25   27   20   25   27  2.638838 0.954942 SUCCESS  45
001101111   37   22   17   29   19   29   22   30 13.892494 0.084611 SUCCESS  46
001110101   29   24   16   30   17   17   19   24 11.100925 0.196046 SUCCESS  47
001110111   31   19   26   23   21   18   28   29  6.943030 0.542792 SUCCESS  48
001111011   23   23   23   20   25   22   22   25  1.586290 0.991181 SUCCESS  49
001111101   25   27   21   20   18   21   21   30  5.653494 0.685981 SUCCESS  50
001111111   25   26   25   29   21   34   21   18  7.655321 0.467842 SUCCESS  51
010000011   23   22   29   20   29   23   24   22  3.273676 0.916028 SUCCESS  52
010000111   20   31   23   21   35   30   17   22 11.891991 0.156088 SUCCESS  53
010001011   30   25   33   25   28   33   22   30  9.751811 0.282880 SUCCESS  54
010001111   19   25   32   24   27   26   22   29  5.241080 0.731526 SUCCESS  55
010010011   23   30   22   21   30   22   29   30  5.944765 0.653419 SUCCESS  56
010010111   33   25   26   20   31   22   28   27  7.004594 0.536137 SUCCESS  57
010011011   23   35   18   31   22   27   28   34 13.411235 0.098462 SUCCESS  58
010011111   26   25   31   18   21   27   17   18  8.534430 0.383078 SUCCESS  59
010100011   26   34   24   31   25   24   30   34 11.124757 0.194730 SUCCESS  60
010100111   27   18   29   18   19   19   25   24  7.144272 0.521150 SUCCESS  61
010101011   17   18   26   24   32   13   20   27 13.227867 0.104246 SUCCESS  62
010101111   23   26   21   28   20   19   21   31  5.620395 0.689668 SUCCESS  63
010110011   28   25   20   28   20   25   24   31  4.622129 0.797094 SUCCESS  64
010110111   28   19   22   25   26   19   23   26  3.578187 0.893038 SUCCESS  65
010111011   27   22   27   19   19   26   29   16  7.280640 0.506679 SUCCESS  66
010111111   34   22   24   21   31   23   28   29  8.021395 0.431383 SUCCESS  67
011000111   26   36   22   19   19   25   22   25  8.798560 0.359573 SUCCESS  68
011001111   19   29   23   21   20   27   22   25  4.069376 0.850810 SUCCESS  69
011010111   27   22   19   21   28   24   30   20  4.959739 0.761871 SUCCESS  70
011011111   29   21   18   33   25   29   21   25  7.672532 0.466094 SUCCESS  71
011101111   33   25   30   27   21   26   24   24  5.377448 0.716577 SUCCESS  72
011111111   24   23   24   25   23   24   22   23  0.527784 0.999836 SUCCESS  73
100000000   23   15   22   25   30   20   18   21  8.456978 0.390150 SUCCESS  74
