		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000   17   21   25   24   28   21   24   23  3.958825 0.860819 SUCCESS  76
100101000   25   24   20   31   29   24   21   21  4.570495 0.802340 SUCCESS  77
100110000   20   25   28   16   19   32   23   28  8.688009 0.369295 SUCCESS  78
100111000   33   22   24   19   20   29   21   26  6.934425 0.543724 SUCCESS  79
101000000   36   33   29   36   24   29   23   22 16.666852 0.033771 SUCCESS  80
101000100   23   21   30   22   18   21   20   25  5.204009 0.735565 SUCCESS  81
101001000   23   21   22   20   33   27   25   29  5.969258 0.650676 SUCCESS  82
101001100   23   21   23   25   18   20   15   26  7.075426 0.528517 SUCCESS  83
101010000   20   23   26   27   21   23   29   25  2.782487 0.947257 SUCCESS  84
101010100   22   22   26   30   22   20   34   30  8.223961 0.411904 SUCCESS  85
101011000   22   25   21   24   26   22   20   28  2.476653 0.962811 SUCCESS  86
101011100   21   23   30   21   27   24   31   16  7.518953 0.481810 SUCCESS  87
101100000   27   24   20   16   39   17   22   26 15.805616 0.045248 SUCCESS  88
101100100   19   29   19   23   26   30   26   24  5.002768 0.757280 SUCCESS  89
101101000   30   21   20   19   16   23   25   20  7.779111 0.455339 SUCCESS  90
101101100   24   29   35   19   25   26   26   22  7.376627 0.496595 SUCCESS  91
101110000   24   21   26   21   22   16   29   26  5.331771 0.721598 SUCCESS  92
101110100   22   24   26   31   26   20   28   22  3.927050 0.863644 SUCCESS  93
101111000   19   29   26   35   21   22   22   17 10.297944 0.244734 SUCCESS  94
101111100   29   26   29   30   20   24   25   27  4.360647 0.823208 SUCCESS  95
110000000   31   18   16   22   26   22   29   22  8.306047 0.404160 SUCCESS  96
110000010   29   18   27   25   37   31   17   29 14.723941 0.064741 SUCCESS  97
110000100   20   31   28   18   13   28   33   25 14.153976 0.077839 SUCCESS  98
110001000   24   18   25   27   18   20   25   29  5.509844 0.701949 SUCCESS  99
110001010   29   22   27   26   25   24   16   28  5.096107 0.747256 SUCCESS 100
110010000   19   21   23   26   26   20   22   23  3.170407 0.923213 SUCCESS 101
110010010   26   24   22   20   22   18   19   25  4.406986 0.818665 SUCCESS 102
110010100   28   30   17   25   26   24   21   19  6.052667 0.641332 SUCCESS 103
110011000   25   19   21   24   22   29   26   25  3.010870 0.933674 SUCCESS 104
110011010   20   29   30   24   33   24   22   29  7.334922 0.500965 SUCCESS 105
110100000   32   32   24   39   24   33   22   24 17.327507 0.026874 SUCCESS 106
110100010   27   23   37   20   25   21   23   26  8.613205 0.375968 SUCCESS 107
110100100   19   26   18   24   29   24   23   27  4.357999 0.823466 SUCCESS 108
110101000   17   34   22   21   22   21   39   24 16.730402 0.033042 SUCCESS 109
110101010   19   23   25   31   26   23   31   26  5.325814 0.722252 SUCCESS 110
110101100   27   21   15   20   28   17   21   22  8.939561 0.347420 SUCCESS 111
